Name,Country,Bat Position,Matches,Innings,Runs,HS,Average,Strike Rate ,100s,50s,4s,6s,Role
Rohit Sharma,INDIA,1,244,237,9837,264,48.69,90,30,48,902,275,Bat
Virat Kohli,INDIA,3,275,265,12898,183,57.32,94,46,65,1211,138,Bat
Shubman Gill,INDIA,2,27,27,1437,208,62.47,104,4,6,166,28,Bat
Washington Sundar,INDIA,6,16,9,233,51,29,86,0,1,17,6,All
Surya Kumar Yadav,INDIA,5,26,24,511,64,24,101,0,2,53,11,Bat
Shreyas Iyer,INDIA,4,42,38,1631,113*,47,97,2,14,162,32,Bat
KL Rahul,INDIA,5,54,52,1986,112,45,87,5,13,152,46,WK Bat
Ishan Kishan,INDIA,2,17,16,694,210,46,107,1,6,73,26,WK Bat
Sanju Samson,INDIA,3,13,12,390,86*,58,104,0,3,27,19,WK Bat
Hardik Pandya ,INDIA,6,77,58,1666,92*,33,112,0,10,125,65,All
Ravindra Jadeja,INDIA,7,177,121,2560,87,33,124,0,13,187,50,All
Ravichandran Ashwin,INDIA,7,113,63,707,21*,16,87,0,1,60,7,All
Axar Patel,INDIA,8,52,32,413,64*,19,102,0,2,18,21,All
Yuzvendra Chahal,INDIA,11,72,14,77,18*,8,55,0,0,8,0,Bowl
Kuldeep Yadav,INDIA,9,84,31,164,23*,12,78,0,0,2,0,Bowl
Prasidh Krishna,INDIA,10,14,5,2,2,1,17,0,0,0,0,Bowl
Mukesh Kumar,INDIA,8,3,1,6,6,6,86,0,0,1,0,Bowl
Arshdeep Singh,INDIA,9,3,1,9,9,9,100,0,0,0,1,Bowl
Md Shami,INDIA,9,90,43,204,25,8,86,0,0,15,9,Bowl
Md Siraj,INDIA,11,24,10,30,9,5,47,0,0,2,0,Bowl
Jasprit Bumrah,INDIA,9,72,20,47,14*,7,61,0,0,5,1,Bowl
Bhuvneshwar Kumar,INDIA,8,121,55,552,53*,14,74,0,1,46,8,Bowl
Shardul Thakur,INDIA,7,38,23,315,50*,18,106,0,1,31,9,All
Dinesh Kartik,INDIA,6,94,79,1752,79,30,73,0,9,176,15,WK Bat
Deepak Chahar,INDIA,8,13,9,203,69*,34,98,0,2,17,8,Bowl
Avesh Khan,INDIA,11,5,2,13,10,6.5,72,0,0,2,0,Bowl
Shikhar Dhawan,INDIA,2,167,164,6793,143,44.11,91.35,17,39,842,79,Bat
